Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-10,168.86485815915046,172.2805045954485,167.95601241948722,171.9709014892578,106765600,0.0,0
2022-01-11,172.1007409237936,174.95708712339083,170.60264957970503,174.8572235107422,76138300,0.0,0
2022-01-12,175.89588620521965,176.9545349396814,174.59755261880287,175.306640625,74805200,0.0,0
2022-01-13,175.55632978251933,176.39525727788237,171.57140132048502,171.9709014892578,84505800,0.0,0
2022-01-14,171.1219827657817,173.55888054009577,170.87230086659991,172.84979248046875,80355000,0.0,0
2022-01-18,171.29175415051924,172.32044229307309,169.19443546931024,169.5839385986328,90956700,0.0,0
2022-01-19,169.78368556998413,170.86231316585938,165.72885410584774,166.0184783935547,94815000,0.0,0
2022-01-20,166.76751737850225,169.4640786403829,163.97107726865937,164.3006591796875,91420500,0.0,0
2022-01-21,164.21079088042842,166.118364262209,162.0934932357812,162.20335388183594,122848900,0.0,0
2022-01-24,159.81638226732795,162.09347979733883,154.50314453772086,161.41433715820312,162294600,0.0,0
2022-01-25,158.77770556615633,162.5528945795478,156.8202080537025,159.57669067382812,115798400,0.0,0
2022-01-26,163.291950585183,164.18081747420635,157.61918554947735,159.48680114746094,108275300,0.0,0
2022-01-27,162.2432961712072,163.63152693075827,158.07860389255396,159.0174102783203,121954600,0.0,0
2022-01-28,165.499149571323,170.13324480930243,162.59284873361844,170.11326599121094,179935700,0.0,0
2022-01-31,169.94348547253134,174.77732321132646,169.2943034141225,174.55760192871094,115541600,0.0,0
2022-02-01,173.78857475957955,174.61752045132354,172.09074097958344,174.3878173828125,86213900,0.0,0
2022-02-02,174.52764729235454,175.6562143517316,173.10945593564222,175.6162567138672,84914300,0.0,0
2022-02-03,174.25798408263805,176.01575437856636,171.9009863816761,172.67999267578125,89418100,0.0,0
2022-02-04,171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,82391400,0.22,0
2022-02-07,172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,77251200,0.0,0
2022-02-08,171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,74829200,0.0,0
2022-02-09,176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,71285000,0.0,0
2022-02-10,174.13999938964844,175.47999572753906,171.5500030517578,172.1199951171875,90865900,0.0,0
2022-02-11,172.3300018310547,173.0800018310547,168.0399932861328,168.63999938964844,98566000,0.0,0
2022-02-14,167.3699951171875,169.5800018310547,166.55999755859375,168.8800048828125,86185500,0.0,0
2022-02-15,170.97000122070312,172.9499969482422,170.25,172.7899932861328,62527400,0.0,0
2022-02-16,171.85000610351562,173.33999633789062,170.0500030517578,172.5500030517578,61177400,0.0,0
2022-02-17,171.02999877929688,171.91000366210938,168.47000122070312,168.8800048828125,69589300,0.0,0
2022-02-18,169.82000732421875,170.5399932861328,166.19000244140625,167.3000030517578,82772700,0.0,0
2022-02-22,164.97999572753906,166.69000244140625,162.14999389648438,164.32000732421875,91162800,0.0,0
2022-02-23,165.5399932861328,166.14999389648438,159.75,160.07000732421875,90009200,0.0,0
2022-02-24,152.5800018310547,162.85000610351562,152.0,162.74000549316406,141147500,0.0,0
2022-02-25,163.83999633789062,165.1199951171875,160.8699951171875,164.85000610351562,91974200,0.0,0
2022-02-28,163.05999755859375,165.4199981689453,162.42999267578125,165.1199951171875,94869100,0.0,0
2022-03-01,164.6999969482422,166.60000610351562,161.97000122070312,163.1999969482422,83474400,0.0,0
2022-03-02,164.38999938964844,167.36000061035156,162.9499969482422,166.55999755859375,79724800,0.0,0
2022-03-03,168.47000122070312,168.91000366210938,165.5500030517578,166.22999572753906,76678400,0.0,0
2022-03-04,164.49000549316406,165.5500030517578,162.10000610351562,163.1699981689453,83737200,0.0,0
2022-03-07,163.36000061035156,165.02000427246094,159.0399932861328,159.3000030517578,96213500,0.0,0
2022-03-09,161.47500610351562,161.6199951171875,159.41000366210938,160.3800048828125,15031944,0.0,0
